Number;Time;Date;Latitude;Longitude;Altitude;Acc_x;Acc_y;Acc_z;Gyr_x;Gyr_y;Gyr_z;Mag_x;Mag_y;Mag_z
890;08:59:50.973559;20.02.2023;49.206165625509456;18.766572787047156;369.2492196260708;0.1163110536215676;0.18058680909813538;-9.800150948058334;-1.4555099998909872e-27;2.9004576518332215e-14;5.018208071305708e-13;-1.4425112696718063;17.501601963464562;37.91204768834721
891;08:59:51.073559;20.02.2023;49.20615878927939;18.766565872576173;369.2069615494356;-0.008604512948657227;-0.027544460538355044;-9.811498560344788;1.1971580534311058e-28;1.2836953722228372e-14;-9.325873406851315e-14;-1.4425630861835308;17.501894815696467;37.91277090446988
892;08:59:51.173559;20.02.2023;49.20615185110249;18.76655885499398;369.164073292336;0.07792050916547048;0.11662142048348667;-9.803638431851708;-3.2688423760095677e-28;-1.4432899320127035e-14;-2.2648549702353193e-13;-1.4426156770569176;17.502192040715038;37.91350492460383
893;08:59:51.273559;20.02.2023;49.20614474746082;18.766551670055794;369.1201622194575;0.12153009659468841;0.18928265117857174;-9.799676838403379;1.5419765506741965e-28;-9.645062526431047e-15;1.5987211554602254e-13;-1.4426695238490403;17.50249635989508;37.914256469695765
894;08:59:51.373559;20.02.2023;49.20613759628014;18.7665444370371;369.0759572876952;0.04056562835183471;0.05438162936433177;-9.807031833619945;5.817849176004962e-29;4.093947403305265e-15;-1.4210854715202004e-13;-1.4427237327400766;17.502802721572557;37.915013064425835
895;08:59:51.473559;20.02.2023;49.20613043542645;18.766537194237248;369.0316925651575;0.014567932112256453;0.011064902117808553;-9.809393523082417;-2.5862928037187313e-28;5.342948306008566e-15;4.840572387365683e-13;-1.4427780167113435;17.50310950361327;37.91577070281719
896;08:59:51.573559;20.02.2023;49.20612332305962;18.766530000481676;368.987727566382;-0.025362965793887665;-0.055466985837553766;-9.813020936063282;-3.0075322011551075e-29;-1.1102230246251565e-15;-2.708944180085382e-13;-1.4428319348585459;17.503414214309565;37.91652323122721
897;08:59:51.673559;20.02.2023;49.20611619139499;18.766522787209986;368.9436432813028;0.021176037261740104;0.022075165709576017;-9.808793227881079;-1.1709654061874394e-28;5.2735593669694936e-15;2.220446049250313e-13;-1.4428860010399374;17.503719757681694;37.91727782153301
898;08:59:51.773559;20.02.2023;49.20610901568124;18.766515529387707;368.8992867101565;0.038169558506263086;0.050389356241059065;-9.807249498018109;-2.1900134583616136e-28;-4.7878367936959876e-15;-4.574118861455645e-13;-1.442940402921976;17.504027194233696;37.91803709289965
899;08:59:51.873559;20.02.2023;49.20610190795175;18.766508340330116;368.85535038542145;-0.038749288436101835;-0.0777709500574284;-9.814236979855549;0.0;-2.2898349882893854e-14;0.0;-1.4429942911275027;17.504331723975003;37.91878919083655
900;08:59:51.973559;20.02.2023;49.206094662239906;18.766501011713952;368.8105611277853;0.1026613857571067;0.1578440654934026;-9.80139091472556;1.1093356479670479e-29;1.2490009027033011e-14;-8.881784197001252e-15;-1.4430492272456446;17.50464217160458;37.91955590980845
